"Question
Identifier",Questionnaire,Parent Question,Parent Answer Triggering Question,Question text,Type,Choice identifier,Variable,Choice,SFMR coded value,SFMR Answer,SFMR Answer coded value,SFMR variable,SFMR SAS format,Comments,SFMR #,SFMR Question,Sub-question
,,,,,,34,,Other,1,Yes,1,brch_l_other_tod,$yesno.,,,,Other:
,,,,,,35,,None of the above,1,Yes,1,brch_l_other_tod,$yesno.,,,,describe:
1189,,,,Have you noticed any of the following changes in your RIGHT breast in the LAST 3 MONTHS?,Multiselect,,Changes in right breast - Last 3 months,,,,,,,,,"Have you noticed any of the following changes in your breast?  RIGHT breast
 In the LAST 3 MONTHS? 
",
,,,,,,16,,Lump (new or unusual),1,Yes,1,brch_r_lump,$yesno.,,,,Lump (new or unusual)
,,,,,,17,,Nipple discharge,1,Yes,1,brch_r_dis,$yesno.,,,,Nipple discharge
,,,,,,18,,Pain,1,Yes,1,brch_r_pain,$yesno.,,,,Pain
,,,,,,19,,Other,1,Yes,1,brch_r_other,$yesno.,,,,Other:
,,,,,,20,,None of the above,1,Yes,1,brch_r_other,$yesno.,,,,describe:
1190,,,,Have you noticed any of the following changes in your LEFT breast in the LAST 3 MONTHS?,Multiselect,,Changes in left breast - Last 3 months,,,,,,,,,Have you noticed any of the following changes in your LEFT breast in the LAST 3 MONTHS?,
,,,,,,21,,Lump (new or unusual),1,Yes,1,brch_l_lump,$yesno.,,,,Lump (new or unusual)
,,,,,,22,,Nipple discharge,1,Yes,1,brch_l_dis,$yesno.,,,,Nipple discharge
,,,,,,23,,Pain,1,Yes,1,brch_l_pain,$yesno.,,,,Pain
,,,,,,24,,Other,1,Yes,1,brch_l_other,$yesno.,,,,Other:
,,,,,,25,,None of the above,1,Yes,1,brch_l_other,$yesno.,,,,
1154,,,,Has a doctor ever told you that you have breast cancer?,Multiselect,36,Breast cancer diagnosis,Yes - invasive breast cancer,1,Yes,1,brcancer,$yesno.,,4,"Has a doctor ever told you that you have breast cancer?
",
,,,,,,37,,Yes - ductal carcinoma in situ(DCIS),2,Yes,1,brcancer,$yesno.,,,,
,,,,,,39,,Yes - but I don't know what kind of breast cancer,3,Yes,1,brcancer,$yesno.,,,,
,,,,,,40,,No,0,No,0,brcancer,$yesno.,,,,
,,,,,,42,,Don't know,9,,,brcancer,$yesno.,,,,
1,,1154,Yes,In which breast were you diagnosed with DCIS (ductal carcinoma in situ)?,Radio,43,Which breast diagnosed with DCIS,Left,2,Yes,1,brcancer_l,$yesno.,This is reversed from the form,,,Left breast
,,,,,,44,,Right                                               ,1,Yes,1,brcancer_r,$yesno.,,,,Right breast
,,,,,,45,,Both                                                 ,4,Yes,1,brcancer_b,$yesno.,,,,Both breasts
,,,,,,46,,Don't know                                      ,9,,,,,,,,
2,,1154,Yes,How old were you when you were first diagnosed with DCIS (ductal carcinoma in situ)?,Numeric,,,,value,,,,,,,,
3,,1154,Yes,How old were you when you were first diagnosed with DCIS (ductal carcinoma in situ) in your other breast?,Numeric,,,,value,,,,,,,,
1155,,1155,Yes,In which breast were you diagnosed with breast cancer?,Radio,47,Which breast diagnosed with cancer,Left,2,Yes,1,brcancer_l,$yesno.,TS:  I added these because it seemed important to capture,,,Left breast
,,,,,,48,,Right,1,Yes,1,brcancer_r,$yesno.,,,,Right breast
,,,,,,49,,Both,4,Yes,1,brcancer_b,$yesno.,,,,Both breasts
,,,,,,50,,Don't know,9,,,,,,,,
1156,,1156,Yes,How old were you when you were first diagnosed with breast cancer?,Numeric,,,,value,,,,,,,,
1157,,1157,Yes,How old were you when you were first diagnosed with breast cancer in your other breast?,Numeric,,,,value,,,,,,,,
1160,,1160,,What was your ER (Estrogen Receptor) status for the breast cancer in your RIGHT breast?,Radio,51,,Positive,1,,,,,,,,
,,,,,,52,,Negative,0,,,,,,,,
,,,,,,53,,Not tested,8,,,,,,,,
,,,,,,54,,Don't know,9,,,,,,,,
1161,,1161,,What was your ER (Estrogen Receptor) status for the breast cancer in your LEFT breast?,Radio,55,,Positive,1,,,,,,,,
,,,,,,56,,Negative,0,,,,,,,,
,,,,,,57,,Not tested,8,,,,,,,,
,,,,,,58,,Don't know,9,,,,,,,,
1158,,1158,,What was your PR (Progesterone Receptor) status for the breast cancer in your RIGHT breast?,Radio,59,,Positive,1,,,,,,,,
,,,,,,60,,Negative,0,,,,,,,,
,,,,,,61,,Not tested,8,,,,,,,,
,,,,,,62,,Don't know,9,,,,,,,,
1159,,1159,,What was your PR (Progesterone Receptor) status for the breast cancer in your LEFT breast?,Radio,63,,Positive,1,,,,,,,,
,,,,,,64,,Negative,0,,,,,,,,
,,,,,,65,,Not tested,8,,,,,,,,
,,,,,,66,,Don't know,9,,,,,,,,
1240,,1240,,Have you ever been diagnosed with any of the following cancers?,Multiselect,67,,Brain Cancer,1,,,,,,,,
,,,,,,68,,"Colon, Rectal, Large Intestine Cancer",1,,,,,,,,
,,,,,,69,,Kidney or Renal Cancer,1,,,,,,,,
,,,,,,70,,Leukemia,1,,,,,,,,
,,,,,,72,,Lung Cancer,1,,,,,,,,
,,,,,,73,,"Ovarian, Peritoneal, Fallopian Tube Cancer",1,,,,,,,,
,,,,,,74,,Pancreatic Cancer,1,,,,,,,,
,,,,,,75,,Sarcoma,1,,,,,,,,
,,,,,,76,,Skin - Melanoma Cancer,1,,,,,,,,
,,,,,,77,,Skin - Basal / Squamous Cell Cancer,1,,,,,,,,
,,,,,,78,,Gastric/Stomach Cancer,1,,,,,,,,
,,,,,,79,,Thyroid Cancer,1,,,,,,,,
,,,,,,80,,Uterine (non-Cervical) / Endometrial Cancer,1,,,,,,,,
,,,,,,81,,Other Cancer not in this list,1,,,,,,,,
,,,,,,82,,Unknown Type of Cancer,1,,,,,,,,
,,,,,,83,,Don't know,1,,,,,,,,
,,,,,,497,,Adrenal Cancer,1,,,,,,,,
,,,,,,498,,Bladder Cancer,1,,,,,,,,
,,,,,,499,,Bone Cancer,1,,,,,,,,
,,,,,,500,,Breast Cancer,1,,,,,,,,
,,,,,,501,,Cervical Cancer,1,,,,,,,,
,,,,,,502,,Gall Bladder Cancer,1,,,,,,,,
,,,,,,503,,Lymphoma - Hodgkins,1,,,,,,,,
,,,,,,504,,Lymphoma - non-Hodgkins,1,,,,,,,,
,,,,,,505,,Prostate Cancer,1,,,,,,,,
,,,,,,506,,Renal Pelvis / Ureter Cancer,1,,,,,,,,
,,,,,,507,,Small Intestine Cancer,1,,,,,,,,
,,,,,,508,,Testicular Cancer,1,,,,,,,,
,,,,,,509,,No History of Cancer,1,,,,,,,,
1241,,,,When were you diagnosed with ovarian cancer? (Date can be estimated if exact date is not known),Date,,,,mmddyyyy,,,,,(fill in 9s for date parts that are unknown),,,
1191,,,,Are you adopted?,Radio,84,,Yes/ No/ Don't know,1/0/9,,,,,,,,
1192,,,,Do you know the medical history from your biological family?,Radio,87,,Yes/ No/ Don't know,1/0/9,,,,,,,,
1197,,,,"Please answer the following questions for your blood relatives, including half relatives and relatives who have died, but not step-relatives. How many sisters do you have?",Numeric,,,,value,,,,,,,,
1200,,,,How many daughters do you have?,Numeric,,,,value,,,,,,,,
1205,,,,How many maternal aunts (mom's sisters) do you have?,Numeric,,,,value,,,,,,,,
1208,,,,How many paternal aunts (father's sisters) do you have?,Numeric,,,,value,,,,,,,,
1193,,,,Has anyone in your family ever been diagnosed with breast cancer or DCIS (ductal carcinoma in situ)?,Radio,90,,Yes/ No/ Don't know,1/0/9,,,,,,,,
200,,,,Extended Family History,"Family
History",,,,,,,,,,,,
1194,,,,Has your mother ever been diagnosed with breast cancer?,Multiselect,93,Mother diagnosed with breast cancer,Yes - invasive breast cancer,1,Yes,1,bc_mother,$yesno.,,5,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.",
,,,,,,94,,Yes - ductal carcinoma in situ (DCIS),2,Yes,1,bc_mother,$yesno.,,,Mother,
,,,,,,95,,Yes - but I don't know what kind of breast cancer,3,Yes,1,bc_mother,$yesno.,,,,
,,,,,,96,,No,0,No,0,bc_mother,$yesno.,,,,
,,,,,,97,,Don't know,9,,,bc_mother,$yesno.,,,,
1195,,1194,Yes,At about what age did your mother have breast cancer?,Radio,102,Mother's age when diagnosed with breast cancer,Under age 50,1,Yes,1,bc_mother_age,$yesno.,,,,"Was the diagnosis before age 50?
"
,,,,,,103,,50 - 60                                             ,2,No,0,bc_mother_age,$yesno.,,,,
,,,,,,104,,Older than 60                                  ,3,No,0,bc_mother_age,$yesno.,,,,
,,,,,,105,,Don't know                                      ,9,,,bc_mother_age,$yesno.,,,,
4,,,,At about what age did your mother have DCIS (ductal carcinoma in situ)?,Radio,98,Age of mother when she had DCIS,Under age 50,1,,,,,we don't ask specifically about DCIS,,,
,,,,,,99,,50 - 60                                             ,2,,,,,,,,
,,,,,,100,,Older than 60                                  ,3,,,,,,,,
,,,,,,101,,Don't know                                      ,9,,,,,,,,
5,,,,Have any of your sisters ever been diagnosed with breast cancer?,Multiselect,109,Sisters ever been diagnosed with breast cancer,Yes - invasive breast cancer,1,Yes,1,bc_sister,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.",
,,,,,,110,,"Yes - ductal carcinoma in situ
(DCIS)",2,Yes,1,bc_sister,$yesno.,,,,Sisters
,,,,,,111,,Yes - but I don't know what kind of breast cancer,3,Yes,1,bc_sister,$yesno.,,,,
,,,,,,112,,No,0,No,0,bc_sister,$yesno.,,,,
,,,,,,113,,Don't know                                     ,9,,,,,,,,
1198,,,,How many sisters have ever been diagnosed with breast cancer ?,Radio,118,,1,1,,,,,,,,
,,,,,,119,,2,2,,,,,,,,
,,,,,,120,,3 or more,3,,,,,,,,
,,,,,,121,,Don't know,9,,,,,,,,
1199,,,,"At about what age did your sister(s) have breast cancer (if more than one sister had breast cancer, please select youngest age of diagnosis)?",Radio,126,Sister(s) age when diagnosed with breast cancer,Under age 50,1,Yes,1,bc_sister_age,$yesno.,,,,"Was the diagnosis before age 50?


"
,,,,,,127,,50 - 60                                             ,2,No,0,bc_sister_age,$yesno.,,,,
,,,,,,128,,Older than 60                                  ,3,No,0,bc_sister_age,$yesno.,,,,
,,,,,,129,,Don't know                                      ,9,,,,,,,,
6,,,,How many sisters have ever been diagnosed with DCIS (ductal carcinoma in situ)?,Radio,114,,1,1,,,,,,,,
,,,,,,115,,2,2,,,,,,,,
,,,,,,116,,3,3,,,,,,,,
,,,,,,117,,Don't know,9,,,,,,,,
7,,,,"At about what age did your sister(s) have DCIS  (if more than one sister had DCIS, please select youngest age of diagnosis)?",Radio,122,Sister's age when she was diagnosed with DCIS,Under age 50,1,,,,,we don't ask specifically about DCIS,,,
,,,,,,123,,50 - 60                                             ,2,,,,,,,,
,,,,,,124,,Older than 60                                  ,3,,,,,,,,
,,,,,,125,,Don't know                                      ,9,,,,,,,,
8,,,,Have any of your daughters ever been diagnosed with breast cancer?,Multiselect             130,130,Daughters ever been diagnosed with breast cancer,Yes - invasive breast cancer   ,1,Yes,1,bc_daughter,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.",
,,,,,,131,,Yes - ductal carcinoma in situ (DCIS) ,2,Yes,1,bc_daughter,$yesno.,,,Daughters,
,,,,,,132,,Yes - but I don't know what kind of breast cancer ,3,Yes,1,bc_daughter,$yesno.,,,,
,,,,,,133,,No                                                   ,0,No,0,bc_daughter,$yesno.,,,,
,,,,,,134,,Don't know                                     ,9,,,bc_daughter,$yesno.,,,,
1201,,,,How many of your daughters have ever been diagnosed with breast cancer?,Radio,143,,1,1,,,,,,,,
,,,,,,144,,2,2,,,,,,,,
,,,,,,145,,3 or more,3,,,,,,,,
,,,,,,146,,Don't know,9,,,,,,,,
1202,,,,"At about what age did your daughter(s) have breast cancer (if more than one daughter had breast cancer, please select youngest age of diagnosis)?",Radio,147,Age when daughters diagnosed with breast cancer,"Under age 50


",1,Yes,1,bc_daughter_age,$yesno.,,,,"Was the diagnosis before age 50?


"
,,,,,,148,,50 - 60                                             ,2,No,0,bc_daughter_age,$yesno.,,,,
,,,,,,149,,Older than 60                                  ,3,No,0,bc_daughter_age,$yesno.,,,,
,,,,,,150,,Don't know                                      ,9,,,bc_daughter_age,$yesno.,,,,
9,,,,How many of your daughters have ever been diagnosed with DCIS (ductal carcinoma in situ)?,Radio,135,,1,1,,,,,,,,
,,,,,,136,,2,2,,,,,,,,
,,,,,,137,,3 or more                                        ,3,,,,,,,,
,,,,,,138,,Don't know                                     ,9,,,,,,,,
10,,,,"At about what age did your daughter(s) have DCIS (if more than one daughter had DCIS, please select youngest age of diagnosis)?",Radio,139,Age of daughter(s) when diagnosed with DCIS, Under age 50 ,1,,,,,we don't ask specifically about DCIS,,,
,,,,,,140,,50 - 60,2,,,,,,,,
,,,,,,141,,Older than 60,3,,,,,,,,
,,,,,,142,,Don't know,9,,,,,,,,
1203,,,,Has your maternal grandmother (your mother's mother) ever been diagnosed with breast cancer?,Multiselect,151,Maternal grandmother diagnosed with breast cancer,Yes - invasive breast cancer,1,,,bc_gmother,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.",
,,,,,,152,,"Yes - ductal carcinoma in situ
(DCIS)",2,Yes,1,bc_gmother,$yesno.,,,Maternal  grandmother,
,,,,,,153,,Yes - but I don't know what kind of breast cancer,3,Yes,1,bc_gmother,$yesno.,,,,
,,,,,,154,,No,0,Yes,1,bc_gmother,$yesno.,,,,
,,,,,,155,,Don't know                                     ,9,No,0,bc_gmother,$yesno.,,,,
1204,,,,At about what age did your maternal grandmother have breast cancer?,Radio,162,Age of maternal grandmother diagnosed with breast cancer,Older than 60,3,No,0,bc_gmother_age,$yesno.,,,,"Was the diagnosis before age 50?


"
,,,,,,163,,Don't know                                     ,9,,,,,,,,
,,,,,,160,,Under age 50,1,Yes,1,bc_gmother_age,$yesno.,,,,
,,,,,,161,,50 - 60                                             ,2,No,0,bc_gmother_age,$yesno.,,,,
11,,,,At about what age did your maternal grandmother have DCIS (ductal carcinoma in situ)?,Radio,156,Age of maternal grandmother when diagnosed with DCIS,Under age 50                                   ,1,,,,,we don't ask specifically about DCIS,,,
,,,,,,157,,50 - 60,2,,,,,,,,
,,,,,,158,,Older than 60,3,,,,,,,,
,,,,,,159,,Don't know,9,,,,,,,,
12,,,,Has your paternal grandmother (your father's mother) ever been diagnosed with breast cancer?,Multiselect,164,Paternal grandmother diagnosed with breast cancer,Yes - invasive breast cancer,1,,,bc_gmother,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.",
,,,,,,165,,Yes - ductal carcinoma in situ (DCIS) ,2,Yes,1,bc_gmother,$yesno.,,,Paternal grandmother,
,,,,,,166,,Yes - but I don't know what kind of breast cancer,3,Yes,1,bc_gmother,$yesno.,,,,
,,,,,,167,,No ,0,No,0,bc_gmother,$yesno.,,,,
,,,,,,168,,Don't know,9,,,bc_gmother,$yesno.,,,,
14,,,,At about what age did your paternal grandmother diagnosed with breast cancer?,Radio,175,Age of paternal grandmother diagnosed with breast cancer,Older than 60,3,No,0,bc_gmother_age,$yesno.,,,,"Was the diagnosis before age 50?


"
,,,,,,176,,Don't know,9,,,bc_gmother_age,$yesno.,,,,
,,,,,,174,,50 - 60 ,1,No,0,bc_gmother_age,$yesno.,,,,
,,,,,,173,,Under age 50,2,Yes,1,bc_gmother_age,$yesno.,,,,
13,,,,At about what age did your paternal grandmother have DCIS (ductal carcinoma in situ)?,Radio,169,Age of paternal grandmother when diagnosed with DCIS, Under age 50,1,,,,,we don't ask specifically about DCIS,,,
,,,,,,170,,50 - 60 ,2,,,,,,,,
,,,,,,171,,Older than 60,3,,,,,,,,
,,,,,,172,,Don't know,9,,,,,,,,
15,,,,Have any of your maternal aunts (mother's sisters) ever been diagnosed with breast cancer?,Multiselect,177,Maternal aunts diagnosed with breast cancer,Yes - invasive breast cancer,1,,,,,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.",
,,,,,,178,,Yes - ductal carcinoma in situ (DCIS) ,2,Yes,1,bc_aunt,$yesno.,,,Maternal aunts,
,,,,,,179,,Yes - but I don't know what kind of breast cancer,3,No,0,bc_aunt,$yesno.,,,,
,,,,,,180,,No ,0,No,0,bc_aunt,$yesno.,,,,
,,,,,,181,,Don't know,9,,,bc_aunt,$yesno.,,,,
16,,,,How many of your maternal aunts (mother's  sisters) have been diagnosed DCIS (ductal carcinoma in situ)?,Radio,182,,1,1,,,,,,,,
,,,,,,183,,2,2,,,,,,,,
,,,,,,184,,3 or more,3,,,,,,,,
,,,,,,185,,Don't know,9,,,,,,,,
17,,,,"At about what age did your maternal aunt(s) have DCIS (if more than DCIS, select youngest age of diagnosis)?",Radio,186,Age of maternal aunt when diagnosed with DCIS,Under age 50,1,,,,,we don't ask specifically about DCIS,,,
,,,,,,187,,50 - 60  ,2,,,,,,,,
,,,,,,188,,Older than 60 ,3,,,,,,,,
,,,,,,189,,Don't know  ,9,,,,,,,,
1206,,,,How many of your maternal aunts (mother's sisters) have been diagnosed with breast cancer?,Radio,190,,1,1,,,,,,,,
,,,,,,191,,2,2,,,,,,,,
,,,,,,192,,3 or more,3,,,,,,,,
,,,,,,193,,Don't know,9,,,,,,,,
1207,,,,"At about what age did your maternal aunt(s) have breast cancer (if more than one maternal aunt had breast cancer, select youngest age of diagnosis)?",Radio,194,Age at which maternal aunt(s) have breast cancer,"Under age 50



",1,Yes,1,bc_aunt_age,$yesno.,,,,"Was the diagnosis before age 50?


"
,,,,,,195,,50 - 60                                             ,2,No,0,bc_aunt_age,$yesno.,,,,
,,,,,,196,,Older than 60,3,No,0,bc_aunt_age,$yesno.,,,,
,,,,,,197,,Don't know                                     ,9,,,bc_aunt_age,$yesno.,,,,
18,,,,Have any of your paternal aunts (father's sisters) ever been diagnosed with breast cancer?,Multiselect,198,Paternal aunts diagnosed with breast cancer,Yes - invasive breast cancer,1,Yes,1,bc_aunt,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.",
,,,,,,199,,Yes - ductal carcinoma in situ (DCIS) ,2,Yes,1,bc_aunt,$yesno.,,,Paternal aunts,
,,,,,,200,,Yes - but I don't know what kind of breast cancer ,3,Yes,1,bc_aunt,$yesno.,,,,
,,,,,,201,,No  ,0,No,0,bc_aunt,$yesno.,,,,
,,,,,,202,,Don't know ,9,,,bc_aunt,$yesno.,,,,
1209,,,,How many of your paternal aunts (father's sisters) have ever been diagnosed with breast cancer?,Radio,211,,1,1,,,,,,,,
,,,,,,212,,2,2,,,,,,,,
,,,,,,213,,3 or more,3,,,,,,,,
,,,,,,214,,Don't know,9,,,,,,,,
1210,,,,"At about age did your paternal aunt(s) have breast cancer (if more than one paternal aunt had breast cancer, select youngest age of diagnosis)?",Radio,215,Age at which paternal aunt diagnosed with breast cancer,"Under age 50




",1,Yes,1,bc_aunt_age,$yesno.,,,,"Was the diagnosis before age 50?


"
,,,,,,216,,50 - 60                                             ,2,No,0,bc_aunt_age,$yesno.,,,,
,,,,,,217,,Older than 60,3,No,0,bc_aunt_age,$yesno.,,,,
,,,,,,218,,Don't know                                     ,9,,,bc_aunt_age,$yesno.,,,,
19,,,,How many of your paternal aunts (father's sisters) have been diagnosed with DCIS (ductal carcinoma in situ)?,Radio,203,,1,1,,,,,,,,
,,,,,,204,,2,2,,,,,,,,
,,,,,,205,,3 or more,3,,,,,,,,
,,,,,,206,,Don't know,9,,,,,,,,
20,,,,"At about what age did your paternal aunt(s) have DCIS (if more than one paternal aunt had DCIS, select youngest age of diagnosis)?",Radio,207,Age of paternal aunt when diagnosed with DCIS,Under age 50,1,,,,,we don't ask specifically about DCIS,,,
,,,,,,208,,50 - 60  ,2,,,,,,,,
,,,,,,209,,Older than 60,3,,,,,,,,
,,,,,,210,,Don't know,9,,,,,,,,
1196,,,,Have any of your relatives ever been diagnosed with bilateral breast cancer or DCIS (ductal carcinoma in situ)? note: bilateral means in both breasts,Radio,"106
107
108",,"Yes
No
Don't know","1
0
9",,,,,,,,
1211,,,,Have any male relatives in your family ever been diagnosed with breast cancer (including chest wall cancer)?,Radio,219,Any male in family diagnosed with breast cancer,Yes,1,Yes,1,bc_male,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.
Male relatives
",Male relatives
1211,,,,Have any male relatives in your family ever been diagnosed with breast cancer (including chest wall cancer)?,Radio,220,Any male in family diagnosed with breast cancer,No,0,No,0,bc_male,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.
Male relatives
",Male relatives
1211,,,,Have any male relatives in your family ever been diagnosed with breast cancer (including chest wall cancer)?,Radio,221,Any male in family diagnosed with breast cancer,Don't know,9,,,bc_male,$yesno.,,,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) or any male relative ever been diagnosed with breast cancer?
Please answer for Blood relatives only.
Male relatives
",Male relatives
1212,,,,"Has your mother, sister(s) daughter(s), grandmother(s), or aunt(s) ever been diagnosed with ovarian cancer?",Radio,222,"Mother, sister, daughter, grandmother, or aunt diagnosed with ovarian cancer",Yes,1,Yes,1,fam_hx_ovarian,$yesno.,,6,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) ever been diagnosed with ovarian cancer?
Please answer for Blood relatives only.
",
1212,,,,"Has your mother, sister(s) daughter(s), grandmother(s), or aunt(s) ever been diagnosed with ovarian cancer?",Radio,223,"Mother, sister, daughter, grandmother, or aunt diagnosed with ovarian cancer",No,0,No,0,fam_hx_ovarian,$yesno.,,6,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) ever been diagnosed with ovarian cancer?
Please answer for Blood relatives only.
",
1212,,,,"Has your mother, sister(s) daughter(s), grandmother(s), or aunt(s) ever been diagnosed with ovarian cancer?",Radio,224,"Mother, sister, daughter, grandmother, or aunt diagnosed with ovarian cancer",Don't know,9,,,fam_hx_ovarian,$yesno.,,6,"Has your mother, sister(s), daughter(s), grandmother(s), or aunt(s) ever been diagnosed with ovarian cancer?
Please answer for Blood relatives only.
",
1213,,,,"Has your mother, sister(s) daughter(s), grandmother(s), or aunt(s) ever been diagnosed with both breast and ovarian cancers?",Radio,"225
226
227","Mother, sister, daughter, grandmother, or aunt diagnosed with both breast and ovarian cancer","Yes
No
Don't know","1
0
9",,,,,,,,
1214,,,,"Have any other women in your family (not already mentioned, including cousins and nieces) been diagnosed with breast cancer or DCIS (ductal carcinoma in situ) before the age of 55 years?",Radio,"228
229
230",,"Yes
No
Don't know","1
0
9",,,,,,,,
1215,,,,Have two or more of your relatives on the same side of the family been diagnosed with uterus (endometrial) and/or colon cancer diagnosed before age 55?,Radio,231,,"Yes
No
Don't know","1
0
9",,,,,,,,
1216,,,,Have any of your relatives been diagnosed with any type of cancer before age 20?,Radio,234,,"Yes
No
Don't know","1
0
9",,,,,,,,
1217,,,,"Have any of your relatives diagnosed with leukemia, brain cancer, or a sarcoma before age 45?",Radio,237,,"Yes
No
Don't know","1
0
9",,,,,,,,
